source_ecli,count
ECLI:CE:ECHR:2012:0214JUD001797207,59
ECLI:CE:ECHR:2016:0906JUD001434413,59
ECLI:CE:ECHR:2023:0622JUD006172119,59
ECLI:CE:ECHR:2024:0215JUD000151021,59
ECLI:CE:ECHR:2023:1102JUD005624715,59
ECLI:CE:ECHR:2016:1004JUD003746209,59
ECLI:CE:ECHR:2020:1124JUD003649317,59
ECLI:CE:ECHR:2009:1217JUD000730607,59
ECLI:CE:ECHR:2023:1026JUD000613219,59
ECLI:CE:ECHR:2015:0512JUD007323512,59
ECLI:CE:ECHR:2012:1023JUD001432508,59
ECLI:CE:ECHR:2024:0111JUD001890719,58
ECLI:CE:ECHR:2020:1013JUD008111417,58
ECLI:CE:ECHR:2015:0616JUD001321605,58
ECLI:CE:ECHR:2024:0912JUD000653420,58
ECLI:CE:ECHR:2010:0910JUD003133306,58
ECLI:CE:ECHR:2020:1110JUD004981209,58
ECLI:CE:ECHR:2023:1107JUD006354309,58
ECLI:CE:ECHR:2015:0616JUD006456909,58
ECLI:CE:ECHR:2011:0526JUD002761704,58
ECLI:CE:ECHR:2024:0704JUD006430419,58
ECLI:CE:ECHR:2023:1102JUD001836918,58
ECLI:CE:ECHR:2017:1207JUD000813816,58
ECLI:CE:ECHR:2013:0411JUD002037211,58
ECLI:CE:ECHR:2009:0528JUD003286506,58
ECLI:CE:ECHR:2015:0407JUD000688411,58
ECLI:CE:ECHR:2016:0421JUD003291303,58
ECLI:CE:ECHR:2016:0906JUD007215213,58
ECLI:CE:ECHR:2023:1102JUD001159017,58
ECLI:CE:ECHR:2011:0621JUD000801407,57
ECLI:CE:ECHR:2024:0912JUD001453920,57
ECLI:CE:ECHR:2021:0330JUD003780116,57
ECLI:CE:ECHR:2019:0409JUD001825510,57
ECLI:CE:ECHR:2012:0612JUD001362403,57
ECLI:CE:ECHR:2024:0215JUD002827921,57
ECLI:CE:ECHR:2017:0404JUD000274212,57
ECLI:CE:ECHR:2023:0126JUD002238619,57
ECLI:CE:ECHR:2024:0912JUD002324220,57
ECLI:CE:ECHR:2014:0527JUD000445510,57
ECLI:CE:ECHR:2017:1114JUD006895512,57
ECLI:CE:ECHR:2021:0408JUD004762113,57
ECLI:CE:ECHR:2023:1130JUD005524818,57
ECLI:CE:ECHR:2013:0416JUD000359803,57
ECLI:CE:ECHR:2016:0412JUD001206012,57
ECLI:CE:ECHR:2023:1102JUD003270615,57
ECLI:CE:ECHR:2014:1009JUD004257507,57
ECLI:CE:ECHR:2024:0418JUD005803219,57
ECLI:CE:ECHR:2019:1017JUD005881215,57
ECLI:CE:ECHR:2024:0418JUD006080219,57
ECLI:CE:ECHR:2015:0616JUD003862907,57
ECLI:CE:ECHR:2021:0916JUD000178114,57
ECLI:CE:ECHR:2023:1214JUD005943318,56
ECLI:CE:ECHR:2010:1102JUD001597390,56
ECLI:CE:ECHR:2013:1126JUD000580908,56
ECLI:CE:ECHR:2024:0201JUD002731519,56
ECLI:CE:ECHR:2013:0723JUD004187210,56
ECLI:CE:ECHR:2024:0418JUD004692419,56
ECLI:CE:ECHR:2009:1126JUD002528206,56
ECLI:CE:ECHR:2019:0117JUD006162015,56
ECLI:CE:ECHR:2015:1020JUD003436408,56
ECLI:CE:ECHR:2012:1002JUD000512605,56
ECLI:CE:ECHR:2023:1214JUD004011921,56
ECLI:CE:ECHR:2011:0324JUD002345802,56
ECLI:CE:ECHR:2012:0110JUD004252507,56
ECLI:CE:ECHR:2020:1215JUD003339918,56
ECLI:CE:ECHR:2024:0111JUD001127819,56
ECLI:CE:ECHR:2020:0220JUD004500913,56
ECLI:CE:ECHR:2010:0527JUD001414602,56
ECLI:CE:ECHR:2009:0108JUD002511403,55
ECLI:CE:ECHR:2011:0621JUD000533505,55
ECLI:CE:ECHR:2016:0901JUD003251412,55
ECLI:CE:ECHR:2009:1222JUD002799606,55
ECLI:CE:ECHR:2007:1009JUD003013204,55
ECLI:CE:ECHR:2024:0215JUD003756419,55
ECLI:CE:ECHR:2018:0320JUD001323717,55
ECLI:CE:ECHR:2012:0619JUD001776708,55
ECLI:CE:ECHR:2019:0207JUD001730315,55
ECLI:CE:ECHR:2023:0119JUD003266719,55
ECLI:CE:ECHR:2012:1106JUD003008605,55
ECLI:CE:ECHR:2020:0630JUD002694413,55
ECLI:CE:ECHR:2009:0623JUD003255005,55
ECLI:CE:ECHR:2024:0307JUD000252321,55
ECLI:CE:ECHR:2019:1003JUD004572716,55
ECLI:CE:ECHR:2012:0629JUD002739606,55
ECLI:CE:ECHR:2023:0627JUD002709420,55
ECLI:CE:ECHR:2020:0903JUD004404709,55
ECLI:CE:ECHR:2014:0715JUD004048508,55
ECLI:CE:ECHR:2024:0208JUD003128021,54
ECLI:CE:ECHR:2008:1222JUD004646806,54
ECLI:CE:ECHR:2011:1011JUD004639010,54
ECLI:CE:ECHR:2010:1216JUD002557905,54
ECLI:CE:ECHR:2007:0315JUD004327898,54
ECLI:CE:ECHR:2023:0829JUD004365122,54
ECLI:CE:ECHR:2011:0208JUD003015703,54
ECLI:CE:ECHR:2022:1108JUD005901217,54
ECLI:CE:ECHR:2014:0724JUD002220513,54
ECLI:CE:ECHR:2012:0612JUD004043707,54
ECLI:CE:ECHR:2024:1107JUD003887520,54
ECLI:CE:ECHR:2020:0526JUD001724713,54
ECLI:CE:ECHR:1995:0323JUD001531889,53
ECLI:CE:ECHR:2010:0610JUD000030202,53
ECLI:CE:ECHR:2023:0302JUD004186508,53
ECLI:CE:ECHR:2013:0801JUD001155407,53
ECLI:CE:ECHR:2024:0201JUD002628519,53
ECLI:CE:ECHR:2009:1013JUD003650005,53
ECLI:CE:ECHR:2013:0109JUD002172211,53
ECLI:CE:ECHR:2015:0113JUD003727011,53
ECLI:CE:ECHR:2015:0928JUD002338009,53
ECLI:CE:ECHR:2024:0307JUD000846120,53
ECLI:CE:ECHR:2024:0208JUD002825319,53
ECLI:CE:ECHR:2009:1201JUD004469806,53
ECLI:CE:ECHR:2023:1214JUD002151418,53
ECLI:CE:ECHR:2014:0717JUD003254108,53
ECLI:CE:ECHR:2016:0315JUD003103911,53
ECLI:CE:ECHR:2011:0510JUD002686605,53
ECLI:CE:ECHR:2024:0118JUD006377217,53
ECLI:CE:ECHR:2016:0426JUD006264910,53
ECLI:CE:ECHR:2017:0404JUD005012306,52
ECLI:CE:ECHR:2024:0111JUD000513619,52
ECLI:CE:ECHR:2013:1112JUD002350206,52
ECLI:CE:ECHR:2012:0417JUD003192508,52
ECLI:CE:ECHR:2021:0413JUD001325217,52
ECLI:CE:ECHR:2024:0307JUD001216619,52
ECLI:CE:ECHR:2017:1114JUD002051415,52
ECLI:CE:ECHR:2009:1208JUD001817605,52
ECLI:CE:ECHR:2004:0408JUD007150301,52
ECLI:CE:ECHR:2020:0130JUD001405717,52
ECLI:CE:ECHR:2021:1007JUD000962614,52
ECLI:CE:ECHR:2021:0309JUD007652112,52
ECLI:CE:ECHR:2023:0912JUD001331208,52
ECLI:CE:ECHR:2008:0717JUD006550701,52
ECLI:CE:ECHR:2023:0207JUD004139415,52
ECLI:CE:ECHR:2023:0427JUD001104219,52
ECLI:CE:ECHR:2021:0916JUD005374709,52
ECLI:CE:ECHR:2021:0520JUD005241518,52
