Network,Initial Nodes,Valid Nodes,Removed Nodes,Total Edges,Connected Nodes,Non-Connected Nodes,Connected Components,Biggest Component Size,Density,Doctypebranch Distribution,Importance Distribution,Importance Pre-1998,Importance Post-1998
importance_merged_150_cutoff_unbalanced/article_46,368,368,0,1996,346,22,2,344,0.01477905,"2: 323, 1: 44, 3: 1","2: 219, 1: 134, 3: 15","1: 12, 3: 5","2: 219, 1: 122, 3: 10"
split_balanced_doctypebranch/article_P1,286,286,0,667,158,128,3,154,0.00818305,"1: 105, 2: 102, 3: 79","3: 157, 1: 107, 2: 22","1: 5, 2: 1","3: 157, 1: 102, 2: 21"
importance_merged_100_cutoff_balanced_doctypebranch/article_P1,286,286,0,667,158,128,3,154,0.00818305,"1: 105, 2: 102, 3: 79","3: 157, 1: 107, 2: 22","1: 5, 2: 1","3: 157, 1: 102, 2: 21"
importance_merged_150_cutoff_balanced_doctypebranch/article_P1,286,286,0,667,158,128,3,154,0.00818305,"1: 105, 2: 102, 3: 79","3: 157, 1: 107, 2: 22","1: 5, 2: 1","3: 157, 1: 102, 2: 21"
split_balanced_doctypebranch/article_3,272,272,0,719,230,42,1,230,0.00975418,"3: 131, 1: 73, 2: 68","3: 172, 1: 78, 2: 22",1: 4,"3: 172, 1: 74, 2: 22"
importance_merged_100_cutoff_balanced_doctypebranch/article_3,272,272,0,719,230,42,1,230,0.00975418,"3: 131, 1: 73, 2: 68","3: 172, 1: 78, 2: 22",1: 4,"3: 172, 1: 74, 2: 22"
importance_merged_150_cutoff_balanced_doctypebranch/article_3,272,272,0,719,230,42,1,230,0.00975418,"3: 131, 1: 73, 2: 68","3: 172, 1: 78, 2: 22",1: 4,"3: 172, 1: 74, 2: 22"
split_balanced_doctypebranch/article_35,268,268,0,1502,242,26,1,242,0.02099055,"1: 180, 2: 84, 3: 4","1: 187, 2: 60, 3: 21","1: 5, 2: 1","1: 182, 2: 59, 3: 21"
importance_merged_100_cutoff_balanced_doctypebranch/article_35,268,268,0,1502,242,26,1,242,0.02099055,"1: 180, 2: 84, 3: 4","1: 187, 2: 60, 3: 21","1: 5, 2: 1","1: 182, 2: 59, 3: 21"
importance_merged_150_cutoff_balanced_doctypebranch/article_35,268,268,0,1502,242,26,1,242,0.02099055,"1: 180, 2: 84, 3: 4","1: 187, 2: 60, 3: 21","1: 5, 2: 1","1: 182, 2: 59, 3: 21"
split_balanced_doctypebranch/article_5,261,261,0,666,211,50,2,209,0.00981432,"3: 123, 1: 72, 2: 66","3: 162, 1: 75, 2: 24","1: 5, 2: 1","3: 162, 1: 70, 2: 23"
importance_merged_100_cutoff_balanced_doctypebranch/article_5,261,261,0,666,211,50,2,209,0.00981432,"3: 123, 1: 72, 2: 66","3: 162, 1: 75, 2: 24","1: 5, 2: 1","3: 162, 1: 70, 2: 23"
