ecli,references
ECLI:CE:ECHR:2001:0612JUD004133398,['ECLI:CE:ECHR:2000:0627JUD003097996']
ECLI:CE:ECHR:2001:0619JUD004328898,['ECLI:CE:ECHR:2000:0201JUD003398996']
ECLI:CE:ECHR:2001:0619JUD004445198,['ECLI:CE:ECHR:2000:0627JUD003097996']
ECLI:CE:ECHR:2001:0703JUD004040298,['ECLI:CE:ECHR:2000:0627JUD003097996']
ECLI:CE:ECHR:2001:0705JUD004526999,['ECLI:CE:ECHR:1999:0325JUD002544494']
ECLI:CE:ECHR:2001:0710JUD002493494,"['ECLI:CE:ECHR:2000:0627JUD002198693', 'ECLI:CE:ECHR:2000:0711JUD002086992']"
ECLI:CE:ECHR:2001:0710JUD002493594,"['ECLI:CE:ECHR:2000:0627JUD002198693', 'ECLI:CE:ECHR:2000:0711JUD002086992']"
ECLI:CE:ECHR:2001:0710JUD002493694,"['ECLI:CE:ECHR:2000:0627JUD002198693', 'ECLI:CE:ECHR:2000:0711JUD002086992']"
ECLI:CE:ECHR:2001:0710JUD002493894,"['ECLI:CE:ECHR:2000:0627JUD002198693', 'ECLI:CE:ECHR:2000:0711JUD002086992']"
ECLI:CE:ECHR:2001:0710JUD002493994,"['ECLI:CE:ECHR:2000:0627JUD002198693', 'ECLI:CE:ECHR:2000:0711JUD002086992']"
ECLI:CE:ECHR:2001:0710JUD002494294,"['ECLI:CE:ECHR:2000:0627JUD002198693', 'ECLI:CE:ECHR:2000:0711JUD002086992']"
ECLI:CE:ECHR:2001:0710JUD002494494,"['ECLI:CE:ECHR:2000:0627JUD002198693', 'ECLI:CE:ECHR:2000:0711JUD002086992']"
ECLI:CE:ECHR:2001:0710JUD002494694,"['ECLI:CE:ECHR:2000:0627JUD002198693', 'ECLI:CE:ECHR:2000:0711JUD002086992']"
ECLI:CE:ECHR:2001:0710JUD002499094,"['ECLI:CE:ECHR:2000:0627JUD002198693', 'ECLI:CE:ECHR:2000:0711JUD002086992']"
ECLI:CE:ECHR:2001:0710JUD002499194,"['ECLI:CE:ECHR:2000:0627JUD002198693', 'ECLI:CE:ECHR:2000:0711JUD002086992']"
ECLI:CE:ECHR:2001:0710JUD004009698,"['ECLI:CE:ECHR:2000:0321JUD004011198', 'ECLI:CE:ECHR:2001:0619JUD004328898']"
ECLI:CE:ECHR:2001:0710JUD004114598,['ECLI:CE:ECHR:2000:0627JUD003097996']
ECLI:CE:ECHR:2001:0712JUD002570294,['ECLI:CE:ECHR:2000:0427JUD002570294']
ECLI:CE:ECHR:2001:0717JUD002945595,"['ECLI:CE:ECHR:2000:0627JUD003097996', 'ECLI:CE:ECHR:2000:1026JUD003021096']"
ECLI:CE:ECHR:2001:0717JUD003450297,['ECLI:CE:ECHR:2001:0605JUD003933598']
ECLI:CE:ECHR:2001:0717JUD003837997,['ECLI:CE:ECHR:2001:0605JUD003933598']
ECLI:CE:ECHR:2001:0717JUD003704097,['ECLI:CE:ECHR:2001:0605JUD003933598']
ECLI:CE:ECHR:2001:0726JUD003992098,['ECLI:CE:ECHR:2000:0406JUD002677295']
ECLI:CE:ECHR:2001:0726JUD004526799,['ECLI:CE:ECHR:1999:0325JUD002544494']
ECLI:CE:ECHR:2001:0731JUD004605199,"['ECLI:CE:ECHR:2000:0627JUD003097996', 'ECLI:CE:ECHR:1999:0604JUD003693297']"
ECLI:CE:ECHR:2001:0731JUD004221198,"['ECLI:CE:ECHR:2000:0801JUD003878197', 'ECLI:CE:ECHR:2000:1026JUD003021096', 'ECLI:CE:ECHR:1999:0325JUD002544494', 'ECLI:CE:ECHR:1999:1109JUD003778697']"
ECLI:CE:ECHR:2001:0731JUD004219598,"['ECLI:CE:ECHR:2000:1114JUD003181996', 'ECLI:CE:ECHR:2000:0215JUD003869597']"
ECLI:CE:ECHR:2001:0802JUD002352994,"['ECLI:CE:ECHR:2000:0406JUD002764495', 'ECLI:CE:ECHR:1999:0325JUD003110796']"
ECLI:CE:ECHR:2001:0918JUD004066998,"['ECLI:CE:ECHR:2000:0125JUD002950795', 'ECLI:CE:ECHR:2001:0712JUD003307196']"
ECLI:CE:ECHR:2001:0927JUD004291898,['ECLI:CE:ECHR:2000:0627JUD003097996']
ECLI:CE:ECHR:2001:0927JUD003185096,"['ECLI:CE:ECHR:2000:0711JUD002086992', 'ECLI:CE:ECHR:1996:0807JUD001402588', 'ECLI:CE:ECHR:1999:0325JUD003119596', 'ECLI:CE:ECHR:1999:0616JUD001402588', 'ECLI:CE:ECHR:2001:0522JUD002227993']"
ECLI:CE:ECHR:2001:1004JUD003832897,"['ECLI:CE:ECHR:2000:1026JUD003021096', 'ECLI:CE:ECHR:2001:0619JUD003404996', 'ECLI:CE:ECHR:2002:0702JUD003404996', 'ECLI:CE:ECHR:2007:0306JUD003404996']"
ECLI:CE:ECHR:2001:1009JUD004086898,['ECLI:CE:ECHR:1999:0325JUD002544494']
ECLI:CE:ECHR:2001:1011JUD004946899,"['ECLI:CE:ECHR:2000:0627JUD003097996', 'ECLI:CE:ECHR:1999:0604JUD003693297']"
ECLI:CE:ECHR:2001:1011JUD004779299,['ECLI:CE:ECHR:2001:0710JUD004047298']
ECLI:CE:ECHR:2001:1018JUD003114396,"['ECLI:CE:ECHR:2000:0406JUD002677295', 'ECLI:CE:ECHR:1999:1216JUD002488894', 'ECLI:CE:ECHR:1999:0728JUD002580394']"
ECLI:CE:ECHR:2001:1018JUD004250598,"['ECLI:CE:ECHR:2000:0727JUD003337996', 'ECLI:CE:ECHR:2001:0531JUD003759197', 'ECLI:CE:ECHR:2000:1128JUD003839897', 'ECLI:CE:ECHR:1999:0325JUD003110796']"
ECLI:CE:ECHR:2001:1023JUD004094698,['ECLI:CE:ECHR:2001:0712JUD003307196']
ECLI:CE:ECHR:2001:1023JUD004841999,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:1023JUD004840899,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:1023JUD004841499,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:1023JUD004451598,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:1023JUD004840399,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:1023JUD004452998,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:1023JUD004842099,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:1023JUD004840699,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:1023JUD004462898,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:1023JUD004841299,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:1023JUD004842399,['ECLI:CE:ECHR:1999:0728JUD003488497']
