ecli,references
ECLI:CE:ECHR:2012:0322JUD000512307,[]
ECLI:CE:ECHR:2012:0322JUD002333809,['ECLI:CE:ECHR:2011:0915JUD001708007']
ECLI:CE:ECHR:2012:0322JUD003007806,"['ECLI:CE:ECHR:2010:1102JUD002127203', 'ECLI:CE:ECHR:2010:1216JUD003309908']"
ECLI:CE:ECHR:2012:0322JUD004507109,[]
ECLI:CE:ECHR:2012:0403JUD000304804,[]
ECLI:CE:ECHR:2012:0403JUD002347005,['ECLI:CE:ECHR:2011:0510JUD003734605']
ECLI:CE:ECHR:2012:0403JUD005452200,[]
ECLI:CE:ECHR:2012:0405JUD000896808,"['ECLI:CE:ECHR:2010:1216JUD001424805', 'ECLI:CE:ECHR:2011:0121JUD003069609']"
ECLI:CE:ECHR:2012:0405JUD001166304,[]
ECLI:CE:ECHR:2012:0410JUD000808805,['ECLI:CE:ECHR:2010:1102JUD002127203']
ECLI:CE:ECHR:2012:0410JUD001955409,[]
ECLI:CE:ECHR:2012:0410JUD001994604,[]
ECLI:CE:ECHR:2012:0410JUD001998606,[]
ECLI:CE:ECHR:2012:0410JUD002049602,['ECLI:CE:ECHR:2012:0117JUD000914607']
ECLI:CE:ECHR:2012:0410JUD002173102,[]
ECLI:CE:ECHR:2012:0410JUD002402707,[]
ECLI:CE:ECHR:2012:0410JUD002801910,['ECLI:CE:ECHR:2011:1124JUD004803806']
ECLI:CE:ECHR:2012:0410JUD003432004,[]
ECLI:CE:ECHR:2012:0410JUD005981908,['ECLI:CE:ECHR:2011:0524JUD006616709']
ECLI:CE:ECHR:2012:0412JUD006043708,['ECLI:CE:ECHR:2011:1013JUD003680106']
ECLI:CE:ECHR:2012:0416JUD005550807,"['ECLI:CE:ECHR:2010:1125JUD007572601', 'ECLI:CE:ECHR:2011:0426JUD002509107', 'ECLI:CE:ECHR:2010:1216JUD001152807']"
ECLI:CE:ECHR:2012:0417JUD001362108,[]
ECLI:CE:ECHR:2012:0417JUD002007107,[]
ECLI:CE:ECHR:2012:0417JUD002153907,[]
ECLI:CE:ECHR:2012:0417JUD003192508,[]
ECLI:CE:ECHR:2012:0417JUD004360907,['ECLI:CE:ECHR:2011:0526JUD002761704']
ECLI:CE:ECHR:2012:0419JUD000245204,"['ECLI:CE:ECHR:2012:1106JUD003223804', 'ECLI:CE:ECHR:2012:0117JUD003676006']"
ECLI:CE:ECHR:2012:0419JUD002698405,[]
ECLI:CE:ECHR:2012:0419JUD004938206,[]
ECLI:CE:ECHR:2012:0424JUD000091802,[]
ECLI:CE:ECHR:2012:0424JUD002964803,[]
ECLI:CE:ECHR:2012:0424JUD003438302,['ECLI:CE:ECHR:2011:1018JUD001317503']
ECLI:CE:ECHR:2012:0424JUD004179404,"['ECLI:CE:ECHR:2011:0329JUD002344503', 'ECLI:CE:ECHR:2012:1002JUD000512605']"
ECLI:CE:ECHR:2012:0426JUD001227510,['ECLI:CE:ECHR:2011:1115JUD005722909']
ECLI:CE:ECHR:2012:0503JUD004065704,['ECLI:CE:ECHR:2012:0124JUD005754109']
ECLI:CE:ECHR:2012:0510JUD001690610,[]
ECLI:CE:ECHR:2012:0510JUD002011608,"['ECLI:CE:ECHR:2010:1028JUD002015705', 'ECLI:CE:ECHR:2011:0920JUD001785404']"
ECLI:CE:ECHR:2012:0510JUD002532903,[]
ECLI:CE:ECHR:2012:0510JUD003349804,[]
ECLI:CE:ECHR:2012:0515DEC002070109,['ECLI:CE:ECHR:2012:0228JUD001742305']
ECLI:CE:ECHR:2012:0515JUD002389303,"['ECLI:CE:ECHR:2010:1014JUD001647403', 'ECLI:CE:ECHR:2011:0908JUD003310805', 'ECLI:CE:ECHR:2010:1104JUD002195805', 'ECLI:CE:ECHR:2010:1014JUD001344807', 'ECLI:CE:ECHR:2011:0421JUD004231004', 'ECLI:CE:ECHR:2011:1220JUD005552808', 'ECLI:CE:ECHR:2010:1202JUD002706505']"
ECLI:CE:ECHR:2012:0515JUD005603007,['ECLI:CE:ECHR:2011:0203JUD001813602']
ECLI:CE:ECHR:2012:0522JUD000582603,"['ECLI:CE:ECHR:2010:1216JUD003309908', 'ECLI:CE:ECHR:2010:1216JUD001424805']"
ECLI:CE:ECHR:2012:0529DEC005312607,[]
ECLI:CE:ECHR:2012:0529JUD001604710,[]
ECLI:CE:ECHR:2012:0529JUD001656308,"['ECLI:CE:ECHR:2008:0124JUD002978703', 'ECLI:CE:ECHR:2011:0329JUD005008406']"
ECLI:CE:ECHR:2012:0531JUD001496604,[]
ECLI:CE:ECHR:2012:0531JUD003856004,['ECLI:CE:ECHR:2012:0112JUD004438502']
ECLI:CE:ECHR:2012:0605JUD002702610,[]
ECLI:CE:ECHR:2012:0605JUD005582210,"['ECLI:CE:ECHR:2013:0425JUD007138610', 'ECLI:CE:ECHR:2012:1002JUD000512605', 'ECLI:CE:ECHR:2011:1103JUD005781300', 'ECLI:CE:ECHR:2013:1003JUD003189011']"
ECLI:CE:ECHR:2012:0605JUD006004510,['ECLI:CE:ECHR:2012:0410JUD002402707']
ECLI:CE:ECHR:2012:0605JUD006240010,"['ECLI:CE:ECHR:2012:0117JUD003676006', 'ECLI:CE:ECHR:2013:0425JUD007138610', 'ECLI:CE:ECHR:2013:1003JUD003189011', 'ECLI:CE:ECHR:2012:1106JUD003223804']"
ECLI:CE:ECHR:2012:0605JUD006480910,"['ECLI:CE:ECHR:2012:0117JUD003676006', 'ECLI:CE:ECHR:2013:0425JUD007138610', 'ECLI:CE:ECHR:2012:1106JUD003223804', 'ECLI:CE:ECHR:2013:1003JUD003189011']"
ECLI:CE:ECHR:2012:0607JUD000483706,[]
ECLI:CE:ECHR:2012:0607JUD003843309,['ECLI:CE:ECHR:2011:0329JUD005008406']
ECLI:CE:ECHR:2012:0607JUD006521009,[]
ECLI:CE:ECHR:2012:0612DEC003109808,['ECLI:CE:ECHR:2011:0106JUD003493204']
